time,TREFHTMN_0,TREFHTMN_1,TREFHTMN_2,TREFHTMN_3,TREFHTMN_4,TREFHTMN_5,TREFHTMN_6,TREFHTMN_7,TREFHTMN_8,TREFHTMN_9,TREFHTMN_10,TREFHTMN_11,TREFHTMN_12,TREFHTMN_13,TREFHTMN_14,TREFHTMN_15,TREFHTMN_16,TREFHTMN_17,TREFHTMN_18,TREFHTMN_19,TREFHTMX_0,TREFHTMX_1,TREFHTMX_2,TREFHTMX_3,TREFHTMX_4,TREFHTMX_5,TREFHTMX_6,TREFHTMX_7,TREFHTMX_8,TREFHTMX_9,TREFHTMX_10,TREFHTMX_11,TREFHTMX_12,TREFHTMX_13,TREFHTMX_14,TREFHTMX_15,TREFHTMX_16,TREFHTMX_17,TREFHTMX_18,TREFHTMX_19,PRECT_0,PRECT_1,PRECT_2,PRECT_3,PRECT_4,PRECT_5,PRECT_6,PRECT_7,PRECT_8,PRECT_9,PRECT_10,PRECT_11,PRECT_12,PRECT_13,PRECT_14,PRECT_15,PRECT_16,PRECT_17,PRECT_18,PRECT_19,SOILWATER_10CM_0,SOILWATER_10CM_1,SOILWATER_10CM_2,SOILWATER_10CM_3,SOILWATER_10CM_4,SOILWATER_10CM_5,SOILWATER_10CM_6,SOILWATER_10CM_7,SOILWATER_10CM_8,SOILWATER_10CM_9,SOILWATER_10CM_10,SOILWATER_10CM_11,SOILWATER_10CM_12,SOILWATER_10CM_13,SOILWATER_10CM_14,SOILWATER_10CM_15,SOILWATER_10CM_16,SOILWATER_10CM_17,SOILWATER_10CM_18,SOILWATER_10CM_19
1850-01-01 00:00:00,272.9769,272.7478,272.61993,272.94052,272.6555,273.13144,271.65594,273.3619,271.42554,273.1506,272.8598,272.87204,273.16135,272.98502,272.84106,272.35254,272.7539,272.77646,272.47183,258.02713,285.7781,287.71387,286.36258,288.01678,284.62512,284.66745,285.84442,284.75067,284.63412,290.9106,290.80164,290.74976,290.5162,290.95804,290.4917,290.5831,290.74973,290.55856,290.7783,283.2184,1.0329188e-07,1.6188143e-07,9.5788096e-08,1.0124996e-07,1.0833431e-07,8.3554106e-08,1.0454215e-07,9.187259e-08,8.896877e-08,2.6124964e-08,2.8791755e-08,2.131737e-08,2.203716e-08,6.498701e-08,4.6287393e-08,2.1626713e-08,1.744996e-08,3.6961506e-08,4.1374896e-08,8.068554e-08,42.33837,43.206158,41.740704,42.259068,42.393166,41.679214,42.39666,41.83615,41.33288,38.941486,39.0949,38.631557,38.555058,40.294933,39.012173,38.90682,38.564907,39.47111,39.662937,50.649284
1850-02-01 00:00:00,272.62204,271.79987,273.1622,270.20224,273.07794,273.526,272.0999,272.25543,272.5954,273.08145,269.30377,273.01538,273.5371,272.49557,272.70303,273.90268,273.15775,270.03583,272.85913,256.47757,287.93658,287.85355,291.73306,288.9206,287.46927,286.3737,287.5061,290.37808,289.3354,290.547,288.55353,295.40347,292.09555,293.3399,290.09735,293.02658,286.28778,286.67935,294.5204,287.05432,6.5376604e-08,4.0978467e-08,1.0219389e-07,4.3968253e-08,1.8243495e-07,9.2580784e-08,1.2139635e-07,3.8791093e-08,1.1045114e-07,6.5479064e-08,7.8016214e-08,6.320109e-08,3.0197686e-08,4.4853877e-08,5.227274e-08,1.2299756e-07,4.8764075e-08,5.5856564e-08,6.087308e-08,4.8384447e-08,39.296066,38.86517,42.25994,39.227554,43.744316,41.691162,42.66431,39.295776,42.293186,39.961723,40.568275,39.47659,37.277515,39.453056,39.75521,42.027416,38.962273,40.013847,40.13334,45.548843
1850-03-01 00:00:00,272.22565,272.87573,272.69983,272.64478,272.48642,271.9383,272.81763,269.96588,272.65656,272.38126,273.28784,272.73892,273.38382,274.7598,273.03,273.65475,271.7834,272.8095,272.37708,272.9604,292.02438,290.14047,296.63617,296.11298,293.99536,290.52237,293.2435,291.35165,290.80093,296.28476,300.19208,294.05518,289.3749,298.45126,292.6575,297.0083,287.06296,292.25974,292.90222,291.91452,8.7220066e-08,1.0959219e-07,4.4674163e-08,8.184442e-08,4.3008914e-08,4.039061e-08,8.8754746e-08,5.0268522e-08,4.2965176e-08,3.415516e-08,5.3153883e-08,7.4058185e-08,4.052356e-08,5.178572e-08,6.190417e-08,3.6185465e-08,1.0501671e-07,8.9019615e-08,1.3540556e-08,1.2471489e-07,40.02611,42.49043,38.364986,40.952427,39.42732,39.25296,41.06236,38.97126,39.167217,38.162464,39.169006,39.9298,38.449158,39.121098,39.817913,38.245132,40.750057,41.598545,35.342392,42.624508
1850-04-01 00:00:00,273.7312,273.2205,277.21365,275.43195,273.14838,271.85303,271.5224,273.78436,272.897,274.27698,273.11575,272.65347,273.4785,275.67303,275.7294,272.46356,274.57974,275.28253,272.71405,274.00494,299.72427,295.0972,297.33057,301.11234,299.1938,296.76688,291.52844,295.81943,294.365,299.7028,294.4279,299.00885,300.0207,301.22067,303.26605,300.05078,295.13742,294.042,297.14758,300.6417,7.417023e-08,7.442508e-08,4.320665e-08,2.3791088e-08,4.6470337e-08,1.1185616e-08,5.708359e-08,5.7630658e-08,4.536644e-08,2.3203953e-08,5.2143918e-08,1.5163213e-08,5.0579278e-08,4.5730737e-08,3.743114e-08,1.327057e-08,5.3726527e-08,3.2891013e-08,1.9523624e-08,4.1247137e-08,39.60366,40.16113,36.969162,36.086792,38.274387,34.695568,39.515247,40.012344,38.291985,34.190704,38.080917,34.79544,38.278545,38.891567,37.785557,33.957733,39.41259,38.304142,34.007843,36.52406
1850-05-01 00:00:00,274.19376,275.89987,277.39468,275.73764,275.833,276.01633,275.36127,274.63617,274.63815,275.8796,276.08365,278.97543,277.1376,277.1539,278.76022,277.1982,276.44614,276.2111,275.97333,277.3219,302.96436,297.5915,301.99478,308.0101,300.9343,300.42365,304.8109,302.81104,300.39035,301.76923,303.90347,305.02838,305.8575,304.8374,299.1737,303.13565,306.26212,307.4773,299.17126,305.9567,1.1891026e-08,4.147083e-09,5.433878e-08,3.4473533e-08,1.3761284e-08,2.159368e-08,2.7685916e-08,1.7130795e-08,5.074247e-09,2.1202904e-08,1.5913789e-09,2.0772493e-08,1.3445777e-08,3.4327105e-08,2.1052319e-08,1.42205385e-08,2.5334213e-08,1.03332916e-08,2.8367477e-08,2.467835e-08,33.98354,32.764297,38.66295,35.62304,34.354122,32.54011,35.580795,35.3267,31.966267,34.918503,30.349745,32.319893,33.29618,37.187542,33.777313,31.073689,36.0826,31.157751,32.851494,34.364273
1850-06-01 00:00:00,279.22385,278.82443,278.25046,280.68835,279.98138,279.55423,280.3859,277.96213,278.2695,279.01334,279.59186,277.45972,279.76443,278.76022,280.1423,278.66025,278.53214,278.90308,279.43246,280.34354,308.20502,305.3001,307.3231,304.69058,303.53006,304.53592,306.55728,309.45078,306.70786,303.14667,302.62057,305.87695,300.71417,304.24548,304.40057,306.58514,304.67166,304.6412,305.89786,313.54968,2.051775e-08,1.5646167e-08,3.1676903e-09,4.286538e-08,2.5438016e-08,9.662234e-09,5.7294574e-09,2.8839768e-09,6.16568e-09,2.0954113e-08,8.052707e-09,4.805521e-09,6.9982646e-09,8.4253665e-10,5.678308e-09,1.9060767e-08,5.879319e-09,7.77088e-09,1.2568852e-08,2.0102364e-08,29.844107,30.11273,30.848536,34.812897,31.199368,29.354816,28.174444,24.603653,24.643137,32.879425,24.477154,26.879892,26.056583,28.298136,27.147652,24.69355,28.472649,24.911968,31.31745,32.258427
1850-07-01 00:00:00,281.74667,279.3942,278.8186,282.3333,280.72836,283.08252,279.19757,282.07083,280.41467,279.72723,280.6798,280.0159,279.74963,279.18216,281.87015,279.77835,280.99545,281.9163,281.4554,280.5761,308.40396,308.94534,311.8083,309.9807,310.31216,311.69305,307.12433,311.80795,310.5605,309.8204,308.52557,310.00543,305.26974,308.3211,313.2272,310.46622,304.1386,310.60724,306.30304,308.11316,1.3804622e-09,3.290058e-09,2.1707849e-09,3.9655492e-09,7.124581e-09,4.0313903e-09,2.07629e-09,1.1886648e-08,1.9505861e-09,5.046765e-09,1.9440236e-09,3.5044614e-09,1.9391686e-09,6.511757e-09,2.0483448e-08,4.7172914e-09,9.5898445e-09,2.7834421e-09,2.323908e-09,8.511763e-10,22.124912,20.738443,22.03116,27.073648,28.648232,20.077356,19.687492,20.04692,15.107219,23.83319,17.086145,18.260145,18.987461,22.590054,26.6728,24.466389,25.29482,17.513508,23.399223,20.45826
1850-08-01 00:00:00,278.95886,280.54608,280.493,282.0409,279.61984,279.94888,279.2993,279.79987,280.8019,278.9031,278.35583,278.3827,280.027,278.77457,281.7334,279.86932,279.23334,280.07526,279.9768,279.53738,307.62915,314.0922,313.4846,310.15933,308.72983,316.66986,313.47543,310.7154,314.2769,309.12784,311.65732,308.67603,307.70425,311.0442,307.9033,310.48193,305.23648,310.30597,308.68472,310.51068,1.672435e-09,1.4731365e-09,8.782634e-10,2.7889875e-09,1.9590736e-09,6.6361644e-10,2.0085378e-09,1.7604881e-09,1.3421095e-09,1.5883859e-09,1.4513422e-09,1.4940233e-09,4.341283e-09,2.6719522e-09,4.9076716e-09,2.84586e-09,2.4449516e-09,1.5710676e-09,2.3903377e-09,1.2400554e-09,14.716081,13.676841,14.130509,17.70482,19.859259,13.089305,13.863623,13.487572,12.702655,16.12245,12.913228,13.256092,14.62803,14.978225,19.50987,16.130152,19.840418,12.729218,17.047728,14.16843
1850-09-01 00:00:00,276.86078,279.46384,277.49313,273.2664,276.54193,278.18335,276.64777,278.03986,276.30563,275.5941,277.54483,278.18732,278.82428,279.07303,275.26614,275.58585,276.13605,278.767,275.6727,276.97473,309.73694,311.95352,310.1734,304.48642,306.85028,310.38132,304.60452,310.60925,303.08075,304.74594,310.0764,306.13245,306.06757,308.30814,308.73398,312.87863,308.51013,312.72037,308.40805,306.94543,2.2324683e-08,4.879664e-10,1.121486e-08,2.301853e-08,3.3322114e-09,9.1211055e-10,3.8525427e-09,1.3588253e-09,7.3931035e-09,1.742152e-08,9.53982e-09,1.6590755e-08,3.1372422e-09,2.8111112e-08,7.1257555e-09,2.6212674e-09,4.686043e-09,3.1566884e-08,1.2581806e-08,8.852795e-09,20.39719,12.42263,17.91474,21.098978,16.885574,12.494911,14.57099,12.3847885,15.237985,21.362444,16.393288,19.984697,13.22079,24.599024,17.549107,12.92144,15.28324,22.297314,19.272305,16.25089
1850-10-01 00:00:00,279.09106,274.46252,276.27194,275.225,274.92545,273.84,273.50238,275.63458,272.70667,273.18924,273.56985,274.79254,274.9808,274.0561,273.1131,273.97873,272.02945,275.78238,276.36063,275.9077,307.30594,303.5977,307.89575,296.58624,301.71088,298.1573,301.70285,300.42673,302.75897,294.62286,303.2837,306.49948,300.57584,306.76343,295.716,304.80893,305.16733,303.62122,302.8945,298.93536,1.0916882e-09,7.369397e-08,1.3495237e-08,2.5669078e-08,1.7812381e-08,5.0692798e-08,5.890775e-08,3.8101664e-08,2.902377e-08,2.0700199e-08,9.88262e-08,7.955076e-08,2.8693027e-08,5.2887756e-09,7.918843e-08,5.1363518e-08,5.2321735e-08,2.5440013e-08,9.112599e-08,4.396027e-08,20.314081,25.067875,19.08607,32.783142,20.071154,30.884659,31.18766,28.021973,28.652725,28.566378,33.734642,28.052433,23.840754,22.991507,34.045372,22.621935,26.633104,29.63906,30.892239,30.75893
